,Name,Year,Quarter,Day,Visits,Percentage
859,DowntownYonge,2022,Q1,Thursday,2138409.94,15.12796714
860,DowntownYonge,2022,Q1,Friday,2103634.968,14.88195508
861,DowntownYonge,2022,Q1,Saturday,2090384.451,14.78821563
932,DowntownYonge,2021,Q4,Sunday,2178949.36,13.18954176
933,DowntownYonge,2021,Q4,Monday,2056376.567,12.44758832
934,DowntownYonge,2021,Q4,Tuesday,2159253.823,13.07032141
935,DowntownYonge,2021,Q4,Wednesday,2354053.897,14.24947855
936,DowntownYonge,2021,Q4,Thursday,2376802.222,14.38717794
937,DowntownYonge,2021,Q4,Friday,2804922.734,16.97866238
938,DowntownYonge,2021,Q4,Saturday,2589922.39,15.67722965
1009,DowntownYonge,2021,Q3,Sunday,1915483.202,12.99502307
1010,DowntownYonge,2021,Q3,Monday,1918641.172,13.01644737
1011,DowntownYonge,2021,Q3,Tuesday,2009406.335,13.63221648
1012,DowntownYonge,2021,Q3,Wednesday,2141403.779,14.52771368
1013,DowntownYonge,2021,Q3,Thursday,2297130.503,15.58419507
1014,DowntownYonge,2021,Q3,Friday,2233350.698,15.15150006
1015,DowntownYonge,2021,Q3,Saturday,2224713.6,15.09290425
1086,DowntownYonge,2021,Q2,Sunday,1287842.003,12.01819354
1087,DowntownYonge,2021,Q2,Monday,1449670.429,13.52838295
1088,DowntownYonge,2021,Q2,Tuesday,1545984.486,14.42718962
1089,DowntownYonge,2021,Q2,Wednesday,1562483.016,14.58115456
1090,DowntownYonge,2021,Q2,Thursday,1676045.813,15.64092716
1091,DowntownYonge,2021,Q2,Friday,1658263.891,15.47498555
1092,DowntownYonge,2021,Q2,Saturday,1535480.567,14.32916662
1163,DowntownYonge,2021,Q1,Sunday,1188721.67,11.54706117
1164,DowntownYonge,2021,Q1,Monday,1465637.962,14.23698383
1165,DowntownYonge,2021,Q1,Tuesday,1501242.476,14.58284065
1166,DowntownYonge,2021,Q1,Wednesday,1650188.189,16.02967661
1167,DowntownYonge,2021,Q1,Thursday,1404364.343,13.64178123
1168,DowntownYonge,2021,Q1,Friday,1646438.977,15.99325734
1169,DowntownYonge,2021,Q1,Saturday,1437988.295,13.96839918
